ID	Sex	weak	trait
1419	1	1	4.9
1419	1	2	8.4
1419	1	3	10.5
1419	1	4	11.9
1419	1	5	13.8
1419	1	6	15.7
1419	1	7	16.7
1419	1	8	18.2
1419	1	9	17.5
1419	1	10	18.1
1419	1	11	18.4
1419	1	12	18.7
1419	1	13	19.1
1419	1	14	19.5
1419	1	15	19.5
1419	1	16	21.4
1422	2	1	4.6
1422	2	2	8.3
1422	2	3	10.9
1422	2	4	14
1422	2	5	16.3
1422	2	6	17.2
1422	2	7	18
1422	2	8	21.3
1422	2	9	19.8
1422	2	10	20.6
1422	2	11	21.7
1422	2	12	20.4
1422	2	13	22.2
1422	2	14	22.8
1422	2	15	23.2
1422	2	16	22.1
1433	2	1	8
1433	2	2	9.7
1433	2	3	11
1433	2	4	13.7
1433	2	5	17.3
1433	2	6	17.5
1433	2	7	17.7
1433	2	8	18.4
1433	2	9	19.1
1433	2	10	19.4
1433	2	11	19.3
1433	2	12	19.6
1433	2	13	20.2
1433	2	14	21.6
1433	2	15	21.3
1433	2	16	21.6
1441	2	1	5.1
1441	2	2	9.7
1441	2	3	13.1
1441	2	4	15.7
1441	2	5	18.5
1441	2	6	19.1
1441	2	7	19.9
1441	2	8	19.3
1441	2	9	20
1441	2	10	20.8
1441	2	11	20.2
1441	2	12	21.7
1441	2	13	22
1441	2	14	21.7
1441	2	15	22.2
1441	2	16	23.4
1457	1	1	4.9
1457	1	2	8.4
1457	1	3	10.6
1457	1	4	11.5
1457	1	5	13.7
1457	1	6	14.9
1457	1	7	15.6
1457	1	8	15.4
1457	1	9	15.5
1457	1	10	16.4
1457	1	11	15.9
1457	1	12	16.4
1457	1	13	16.5
1457	1	14	17.4
1457	1	15	17.9
1457	1	16	18.5
1464	1	1	6.2
1464	1	2	10.1
1464	1	3	13.7
1464	1	4	15.8
1464	1	5	18.2
1464	1	6	18.1
1464	1	7	18.4
1464	1	8	20
1464	1	9	20.5
1464	1	10	21.6
1464	1	11	20.7
1464	1	12	20.2
1464	1	13	21.6
1464	1	14	22.1
1464	1	15	23.3
1464	1	16	23.6
1471	2	1	5.2
1471	2	2	9.2
1471	2	3	12.2
1471	2	4	16.1
1471	2	5	21.3
1471	2	6	20.8
1471	2	7	22
1471	2	8	22.4
1471	2	9	23.6
1471	2	10	23.9
1471	2	11	23.6
1471	2	12	24.1
1471	2	13	23.9
1471	2	14	24.2
1471	2	15	25.2
1471	2	16	26
1479	2	1	4.3
1479	2	2	7.6
1479	2	3	9.1
1479	2	4	10.9
1479	2	5	13.3
1479	2	6	14.1
1479	2	7	15.8
1479	2	8	15.3
1479	2	9	16.2
1479	2	10	17.4
1479	2	11	17.3
1479	2	12	16.9
1479	2	13	18.2
1479	2	14	18.7
1479	2	15	19.4
1479	2	16	19.4
1487	2	1	5
1487	2	2	8.7
1487	2	3	11.6
1487	2	4	13.2
1487	2	5	17.8
1487	2	6	17.2
1487	2	7	17.8
1487	2	8	18.2
1487	2	9	19.5
1487	2	10	20.6
1487	2	11	20.9
1487	2	12	21.1
